what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.0.12.v200809120228,org.eclipse.wst.jsdt.core,1223241375603
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1223241375603
started,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui,1223241375619
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1223241375619
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1223241375619
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1223241375619
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1223241375619
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1223241375619
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241401369
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241411619
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241416306
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241430712
started,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1223241430728
activated,perspective,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui.webDevPerspective,1223241431744
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1223241432244
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1223241432244
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241443806
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241449447
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1223241449447
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1223241449447
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241454228
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241455915
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.openLocalFile,1223241455931
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1223241483306
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1223241483431
