what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1223241952025
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1223241952087
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1223241952165
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1223241952197
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1223241952197
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1223241952259
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241955509
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241957447
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241964119
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241971431
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223241976353
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223242108384
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1223242110165
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1223242111603
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1223242111619
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223242111837
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1223242113525
started,bundle,org.eclipse.wst.jsdt.core,1.0.12.v200809120228,org.eclipse.wst.jsdt.core,1223242113744
started,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui,1223242114181
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223242114634
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1223242114681
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223242121165
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223242206150
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223242208415
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223244827572
